date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-03-23,Bosnia and Herzegovina,3.0,0.0,57.0,63.0,1404.0,0,-6.0,0.047619047619047616,3
2023-03-23,Portugal,4.0,0.0,9.0,198.0,1703.0,0,-189.0,0.015151515151515152,3
2023-03-23,Kazakhstan,1.0,2.0,115.0,62.0,1163.0,1,53.0,0.0,0
2023-03-23,Suriname,0.0,2.0,139.0,15.0,1077.0,1,124.0,0.0,0
2023-03-24,Uzbekistan,1.0,0.0,77.0,82.0,1313.0,0,-5.0,0.036585365853658534,3
2023-03-24,Japan,1.0,1.0,20.0,16.0,1593.0,2,4.0,0.0625,1
2023-03-24,Australia,3.0,1.0,27.0,41.0,1534.0,0,-14.0,0.07317073170731707,3
2023-03-24,Kuwait,2.0,0.0,148.0,134.0,1057.0,0,14.0,0.022388059701492536,3
2023-03-24,Saudi Arabia,1.0,2.0,49.0,55.0,1438.0,1,-6.0,0.0,0
2023-03-24,Tahiti,2.0,1.0,162.0,161.0,995.0,0,1.0,0.018633540372670808,3
2023-03-24,Nigeria,0.0,1.0,35.0,118.0,1494.0,1,-83.0,0.0,0
2023-03-24,Mali,2.0,0.0,45.0,126.0,1449.0,0,-81.0,0.023809523809523808,3
2023-03-24,Burkina Faso,1.0,0.0,50.0,127.0,1435.0,0,-77.0,0.023622047244094488,3
2023-03-24,Cameroon,1.0,1.0,33.0,113.0,1499.0,2,-80.0,0.008849557522123894,1
2023-03-24,Guinea,2.0,0.0,83.0,138.0,1290.0,0,-55.0,0.021739130434782608,3
2023-03-24,DR Congo,3.0,1.0,73.0,103.0,1334.0,0,-30.0,0.02912621359223301,3
2023-03-24,Uganda,0.0,1.0,89.0,130.0,1261.0,1,-41.0,0.0,0
2023-03-24,Cape Verde,0.0,0.0,72.0,143.0,1336.0,2,-71.0,0.006993006993006993,1
2023-03-24,Ivory Coast,3.0,1.0,47.0,129.0,1441.0,0,-82.0,0.023255813953488372,3
2023-03-24,South Korea,2.0,2.0,25.0,17.0,1539.0,2,8.0,0.058823529411764705,1
2023-03-24,Egypt,2.0,0.0,39.0,124.0,1490.0,0,-85.0,0.024193548387096774,3
2023-03-24,Nicaragua,4.0,1.0,142.0,178.0,1072.0,0,-36.0,0.016853932584269662,3
2023-03-24,Sweden,0.0,3.0,23.0,4.0,1558.0,1,19.0,0.0,0
2023-03-24,Moldova,1.0,1.0,174.0,123.0,959.0,2,51.0,0.008130081300813009,1
2023-03-24,Senegal,5.0,1.0,19.0,114.0,1604.0,0,-95.0,0.02631578947368421,3
2023-03-24,Gibraltar,0.0,3.0,200.0,51.0,858.0,1,149.0,0.0,0
2023-03-24,France,4.0,0.0,3.0,6.0,1823.0,0,-3.0,0.5,3
2023-03-24,Czech Republic,3.0,1.0,38.0,22.0,1491.0,0,16.0,0.13636363636363635,3
2023-03-24,Austria,4.0,1.0,34.0,121.0,1497.0,0,-87.0,0.024793388429752067,3
2023-03-24,Belize,1.0,2.0,176.0,119.0,951.0,1,57.0,0.0,0
2023-03-24,South Africa,2.0,2.0,67.0,150.0,1350.0,2,-83.0,0.006666666666666667,1
2023-03-24,Serbia,2.0,0.0,29.0,144.0,1526.0,0,-115.0,0.020833333333333332,3
2023-03-24,Grenada,1.0,7.0,173.0,13.0,964.0,1,160.0,0.0,0
2023-03-24,Bahamas,0.0,3.0,203.0,104.0,855.0,1,99.0,0.0,0
2023-03-24,Equatorial Guinea,2.0,0.0,98.0,149.0,1216.0,0,-51.0,0.020134228187919462,3
2023-03-24,Anguilla,1.0,2.0,210.0,172.0,791.0,1,38.0,0.0,0
2023-03-24,Tunisia,3.0,0.0,30.0,120.0,1526.0,0,-90.0,0.025,3
2023-03-24,Bulgaria,0.0,1.0,71.0,69.0,1337.0,1,2.0,0.0,0
2023-03-25,Spain,3.0,0.0,10.0,43.0,1693.0,0,-33.0,0.06976744186046512,3
2023-03-25,Bhutan,1.0,2.0,185.0,187.0,911.0,1,-2.0,0.0,0
2023-03-25,Georgia,6.0,1.0,78.0,183.0,1306.0,0,-105.0,0.01639344262295082,3
2023-03-25,Germany,2.0,0.0,14.0,21.0,1647.0,0,-7.0,0.14285714285714285,3
2023-03-25,United Arab Emirates,0.0,0.0,70.0,108.0,1338.0,2,-38.0,0.009259259259259259,1
2023-03-25,Morocco,2.0,1.0,11.0,1.0,1672.0,0,10.0,3.0,3
2023-03-25,Thailand,1.0,3.0,111.0,90.0,1173.0,1,21.0,0.0,0
2023-03-25,Indonesia,3.0,1.0,151.0,141.0,1034.0,0,10.0,0.02127659574468085,3
2023-03-25,Bahrain,1.0,2.0,85.0,93.0,1280.0,1,-8.0,0.0,0
2023-03-25,Bangladesh,1.0,0.0,192.0,199.0,884.0,0,-7.0,0.01507537688442211,3
2023-03-25,Scotland,3.0,0.0,42.0,110.0,1477.0,0,-68.0,0.02727272727272727,3
2023-03-25,Croatia,1.0,1.0,7.0,28.0,1728.0,2,-21.0,0.03571428571428571,1
2023-03-25,Belarus,0.0,5.0,97.0,12.0,1222.0,1,85.0,0.0,0
2023-03-25,Myanmar,1.0,1.0,159.0,94.0,1006.0,2,65.0,0.010638297872340425,1
2023-03-25,Andorra,0.0,2.0,153.0,52.0,1031.0,1,101.0,0.0,0
2023-03-25,Israel,1.0,1.0,76.0,107.0,1316.0,2,-31.0,0.009345794392523364,1
2023-03-25,Montserrat,0.0,4.0,179.0,87.0,941.0,1,92.0,0.0,0
2023-03-25,Armenia,1.0,2.0,95.0,44.0,1232.0,1,51.0,0.0,0
