home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly
United States,El Salvador,0,-61.0,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0365296803652968,-8.0,-8.0,0.02538818995806415,0.02538818995806415,0
Sweden,Azerbaijan,0,-98.0,0.33333333333333326,0.33333333333333326,-2.666666666666667,-2.666666666666667,0.0031085604973696765,7.0,7.0,0.03373015873015873,0.03373015873015873,0
Hungary,Bulgaria,0,-35.0,1.0,1.0,-1.0,-1.0,0.009174311926605505,40.0,40.0,0.027522935779816515,0.027522935779816515,0
Montenegro,Serbia,1,40.0,-1.0,-1.0,-0.5,-0.5,-0.011393199964115907,-7.5,-7.5,-0.08354776092452149,-0.08354776092452149,0
Austria,Estonia,0,-75.0,3.5,3.5,0.5,0.5,0.02218828602227812,75.0,75.0,-0.0019923258559622174,-0.0019923258559622174,0
Moldova,Czech Republic,1,136.0,-2.0,-2.0,0.0,0.0,-0.12823355506282336,101.0,101.0,-0.12823355506282336,-0.12823355506282336,0
Saint Vincent and the Grenadines,Bahamas,1,-25.0,1.0,1.0,1.0,1.0,0.007042253521126761,38.0,38.0,0.0,0.0,0
Trinidad and Tobago,Nicaragua,1,-38.0,-2.666666666666667,-2.666666666666667,-1.0,-1.0,-0.010387317967344444,-67.66666666666667,-67.66666666666667,0.008905509123447907,0.008905509123447907,0
Armenia,Cyprus,1,-15.0,1.0,1.0,-1.0,-1.0,0.022727272727272728,2.0,2.0,0.0,0.0,1
Australia,Ecuador,1,-14.0,2.0,2.0,-2.0,-2.0,0.036133694670280034,14.0,14.0,0.07317073170731707,0.07317073170731707,1
Bahrain,Syria,0,-5.0,-2.0,-2.0,0.25,0.25,-0.0163887291546866,-17.0,-17.0,-0.012837837837837839,-0.012837837837837839,1
Bangladesh,Seychelles,1,-7.0,1.0,1.0,-0.5,-0.5,0.006191950464396285,-30.5,-30.5,0.011569946506727184,0.011569946506727184,1
Germany,Belgium,1,10.0,-1.0,-1.0,0.0,0.0,-0.035196687370600416,-2.0,-2.0,0.0124223602484472,0.0124223602484472,1
India,Kyrgyzstan,0,12.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.012578616352201257,0.012578616352201257,0
Indonesia,Burundi,1,10.0,0.5,0.5,-1.5,-1.5,0.006035711291809875,-32.5,-32.5,0.010638297872340425,0.010638297872340425,1
Namibia,Cameroon,0,80.0,0.0,0.0,0.0,0.0,0.02145347278090641,-80.0,-80.0,0.02145347278090641,0.02145347278090641,0
Japan,Colombia,1,3.0,0.0,0.0,0.0,0.0,0.009868421052631582,-3.0,-3.0,0.0040384615384615324,0.0040384615384615324,1
United Arab Emirates,Thailand,0,-41.0,-1.4166666666666667,-1.4166666666666667,-0.5833333333333334,-0.5833333333333334,-0.013228885660925505,-1.4166666666666714,-1.4166666666666714,-0.00694710515112814,-0.00694710515112814,1
Malaysia,Hong Kong,0,-1.0,-0.5,-0.5,0.5,0.5,-0.002184959349593496,-37.0,-37.0,0.004861111111111111,0.004861111111111111,1
Morocco,Peru,1,-10.0,2.0,2.0,-1.0,-1.0,2.0,-13.0,-13.0,3.0,3.0,1
Nepal,Bhutan,1,-10.0,1.0,1.0,-2.0,-2.0,0.0053475935828877,0.0,0.0,0.016042780748663103,0.016042780748663103,0
Saudi Arabia,Bolivia,1,-33.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0101010101010101,-11.0,-11.0,0.0,0.0,1
Uzbekistan,Venezuela,1,22.0,-1.0,-1.0,-1.0,-1.0,-0.02862120457939273,33.0,33.0,-0.02463912394225983,-0.02463912394225983,1
Eswatini,Cape Verde,1,71.0,0.0,0.0,0.0,0.0,0.0,-71.0,-71.0,0.006895881895881895,0.006895881895881895,0
South Korea,Uruguay,1,9.0,1.0,1.0,1.0,1.0,0.06764705882352941,-3.0,-3.0,0.008823529411764702,0.008823529411764702,1
Argentina,Curaçao,0,-84.0,2.0,2.0,-2.0,-2.0,0.03278688524590164,8.0,8.0,0.04918032786885246,0.04918032786885246,1
Togo,Burkina Faso,1,77.0,-1.0,-1.0,1.0,1.0,-0.007874015748031496,-77.0,-77.0,-0.023622047244094488,-0.023622047244094488,0
Kuwait,Tajikistan,0,40.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.01384083044982699,26.33333333333333,26.33333333333333,0.011384255194615158,0.011384255194615158,1
Scotland,Spain,0,32.0,0.0,0.0,0.0,0.0,-0.04249471458773785,67.0,67.0,-0.04249471458773785,-0.04249471458773785,0
Turkey,Croatia,1,37.0,1.0,1.0,0.0,0.0,-0.014661654135338344,67.0,67.0,-0.004135338345864659,-0.004135338345864659,0
Comoros,Ivory Coast,1,82.0,-2.0,-2.0,2.0,2.0,-0.0019792182088075212,-82.0,-82.0,-0.023255813953488372,-0.023255813953488372,0
Mauritania,DR Congo,1,30.0,-2.0,-2.0,2.0,2.0,-0.01542758345524671,-30.0,-30.0,-0.02912621359223301,-0.02912621359223301,0
Botswana,Equatorial Guinea,1,51.0,-2.0,-2.0,2.0,2.0,-0.013422818791946308,-51.0,-51.0,-0.020134228187919462,-0.020134228187919462,0
Libya,Tunisia,1,90.0,-3.0,-3.0,3.0,3.0,-0.025,-90.0,-90.0,-0.025,-0.025,0
Liberia,South Africa,1,83.0,0.0,0.0,0.0,0.0,0.016517412935323383,-83.0,-83.0,0.008258706467661692,0.008258706467661692,0
