rank,country_full,confederation,total_points,rank_date
108,Kenya,CAF,1198,2024-07-18
107,Guatémala,CONCACAF,1199,2024-07-18
106,Kosovo,UEFA,1203,2024-07-18
116,Liban,AFC,1168,2024-07-18
129,Zimbabwe,CAF,1126,2024-07-18
130,Nicaragua,CONCACAF,1120,2024-07-18
131,Rwanda,CAF,1114,2024-07-18
154,Guyana,CONCACAF,1027,2024-07-18
153,Fidji,OFC,1033,2024-07-18
152,Moldavie,UEFA,1034,2024-07-18
151,Afghanistan,AFC,1034,2024-07-18
150,R. dominicaine,CONCACAF,1046,2024-07-18
149,Lesotho,CAF,1047,2024-07-18
148,Antigua-et-Bar.,CONCACAF,1053,2024-07-18
147,Philippines,AFC,1053,2024-07-18
146,St. Kitts/Nevis,CONCACAF,1060,2024-07-18
145,Botswana,CAF,1064,2024-07-18
144,Turkménistan,AFC,1065,2024-07-18
143,Éthiopie,CAF,1066,2024-07-18
142,Libéria,CAF,1067,2024-07-18
141,Salomon,OFC,1075,2024-07-18
140,Suriname,CONCACAF,1088,2024-07-18
139,Burundi,CAF,1091,2024-07-18
138,Îles Féroé,UEFA,1094,2024-07-18
137,Lettonie,UEFA,1096,2024-07-18
136,Koweït,AFC,1098,2024-07-18
135,Lituanie,UEFA,1101,2024-07-18
134,Malaisie,AFC,1108,2024-07-18
133,Indonésie,AFC,1109,2024-07-18
132,Gambie,CAF,1113,2024-07-18
104,Mozambique,CAF,1209,2024-07-18
210,Saint-Marin,UEFA,746,2024-09-19
104,Kosovo,UEFA,1206,2024-09-19
208,Vierges b.,CONCACAF,791,2024-09-19
75,Bosnie,UEFA,1332,2024-09-19
74,Monténégro,UEFA,1333,2024-09-19
73,Irlande du Nord,UEFA,1340,2024-09-19
72,Macédoine Nord,UEFA,1351,2024-09-19
71,Islande,UEFA,1356,2024-09-19
70,Ghana,CAF,1360,2024-09-19
69,ÉAU,AFC,1377,2024-09-19
68,Jordanie,AFC,1378,2024-09-19
67,Albanie,UEFA,1378,2024-09-19
66,Géorgie,UEFA,1378,2024-09-19
76,Bahreïn,AFC,1315,2024-09-19
65,Cap-Vert,CAF,1379,2024-09-19
63,Burkina Faso,CAF,1388,2024-09-19
62,Irlande,UEFA,1395,2024-09-19
61,Jamaïque,CONCACAF,1403,2024-09-19
60,Ouzbékistan,AFC,1413,2024-09-19
59,Afrique du Sud,CAF,1415,2024-09-19
58,RD Congo,CAF,1417,2024-09-19
57,Paraguay,CONMEBOL,1424,2024-09-19
56,Arabie saoudite,AFC,1433,2024-09-19
55,Irak,AFC,1436,2024-09-19
54,Mali,CAF,1455,2024-09-19
64,Finlande,UEFA,1384,2024-09-19
53,Cameroun,CAF,1459,2024-09-19
77,Honduras,CONCACAF,1311,2024-09-19
79,Israël,UEFA,1308,2024-09-19
101,Trinité,CONCACAF,1213,2024-09-19
100,Thaïlande,AFC,1223,2024-09-19
99,Mozambique,CAF,1226,2024-09-19
98,Palestine,AFC,1229,2024-09-19
97,Biélorussie,UEFA,1229,2024-09-19
96,Arménie,UEFA,1230,2024-09-19
95,N. Zélande,OFC,1247,2024-09-19
94,Guinée équat.,CAF,1251,2024-09-19
93,Zambie,CAF,1253,2024-09-19
92,Syrie,AFC,1253,2024-09-19
78,Oman,AFC,1309,2024-09-19
91,Chine,AFC,1254,2024-09-19
89,Bénin,CAF,1258,2024-09-19
88,Curaçao,CONCACAF,1261,2024-09-19
87,Luxembourg,UEFA,1262,2024-09-19
86,Haïti,CONCACAF,1279,2024-09-19
85,Angola,CAF,1281,2024-09-19
84,Gabon,CAF,1293,2024-09-19
83,Bolivie,CONMEBOL,1294,2024-09-19
82,Guinée,CAF,1298,2024-09-19
81,Bulgarie,UEFA,1303,2024-09-19
80,El Salvador,CONCACAF,1307,2024-09-19
90,Ouganda,CAF,1258,2024-09-19
52,Écosse,UEFA,1462,2024-09-19
51,Slovénie,UEFA,1463,2024-09-19
50,Costa Rica,CONCACAF,1466,2024-09-19
22,Autriche,UEFA,1580,2024-09-19
21,Sénégal,CAF,1621,2024-09-19
20,Danemark,UEFA,1622,2024-09-19
19,Iran,AFC,1623,2024-09-19
18,États-Unis,CONCACAF,1632,2024-09-19
17,Mexique,CONCACAF,1636,2024-09-19
16,Japon,AFC,1640,2024-09-19
15,Suisse,UEFA,1641,2024-09-19
14,Maroc,CAF,1676,2024-09-19
13,Allemagne,UEFA,1692,2024-09-19
23,Corée du Sud,AFC,1573,2024-09-19
12,Croatie,UEFA,1700,2024-09-19
10,Italie,UEFA,1726,2024-09-19
9,Colombie,CONMEBOL,1739,2024-09-19
8,Portugal,UEFA,1752,2024-09-19
7,Pays-Bas,UEFA,1760,2024-09-19
6,Belgique,UEFA,1768,2024-09-19
5,Brésil,CONMEBOL,1772,2024-09-19
4,Angleterre,UEFA,1817,2024-09-19
3,Espagne,UEFA,1836,2024-09-19
2,France,UEFA,1852,2024-09-19
1,Argentine,CONMEBOL,1889,2024-09-19
11,Uruguay,CONMEBOL,1701,2024-09-19
24,Ukraine,UEFA,1548,2024-09-19
25,Australie,AFC,1544,2024-09-19
26,Turquie,UEFA,1539,2024-09-19
49,Chili,CONMEBOL,1468,2024-09-19
48,Grèce,UEFA,1469,2024-09-19
47,Norvège,UEFA,1472,2024-09-19
46,Tchéquie,UEFA,1473,2024-09-19
45,Roumanie,UEFA,1481,2024-09-19
44,Qatar,AFC,1482,2024-09-19
43,Pérou,CONMEBOL,1483,2024-09-19
42,Slovaquie,UEFA,1486,2024-09-19
41,Algérie,CAF,1486,2024-09-19
40,Venezuela,CONMEBOL,1489,2024-09-19
39,Nigéria,CAF,1498,2024-09-19
38,Canada,CONCACAF,1502,2024-09-19
37,Panama,CONCACAF,1503,2024-09-19
36,Tunisie,CAF,1505,2024-09-19
35,Serbie,UEFA,1505,2024-09-19
34,Russie,UEFA,1509,2024-09-19
33,Côte d'Ivoire,CAF,1509,2024-09-19
32,Hongrie,UEFA,1511,2024-09-19
31,Égypte,CAF,1516,2024-09-19
30,Pologne,UEFA,1525,2024-09-19
29,Pays de Galles,UEFA,1527,2024-09-19
28,Suède,UEFA,1528,2024-09-19
27,Équateur,CONMEBOL,1535,2024-09-19
102,Kenya,CAF,1209,2024-09-19
209,Anguilla,CONCACAF,782,2024-09-19
103,Tadjikistan,AFC,1208,2024-09-19
106,Kirghizistan,AFC,1201,2024-09-19
181,Dominique,CONCACAF,917,2024-09-19
180,Cambodge,AFC,920,2024-09-19
179,Montserrat,CONCACAF,924,2024-09-19
178,Maurice,CAF,928,2024-09-19
177,Tchad,CAF,932,2024-09-19
176,Népal,AFC,936,2024-09-19
175,Barbade,CONCACAF,944,2024-09-19
174,St. Vincent,CONCACAF,946,2024-09-19
173,Grenade,CONCACAF,947,2024-09-19
172,Soudan du Sud,CAF,968,2024-09-19
182,Belize,CONCACAF,913,2024-09-19
171,Malte,UEFA,972,2024-09-19
169,Andorre,UEFA,982,2024-09-19
168,Papoua.N.Guinée,OFC,984,2024-09-19
167,Myanmar,AFC,989,2024-09-19
166,Taipei Chinois,AFC,991,2024-09-19
165,Cuba,CONCACAF,992,2024-09-19
164,Sainte-Lucie,CONCACAF,998,2024-09-19
163,Maldives,AFC,1003,2024-09-19
162,Vanuatu,OFC,1005,2024-09-19
161,Singapour,AFC,1008,2024-09-19
160,N. Calédonie,OFC,1009,2024-09-19
170,Bermudes,CONCACAF,973,2024-09-19
159,Eswatini,CAF,1012,2024-09-19
183,Brunei,AFC,907,2024-09-19
185,Samoa,OFC,901,2024-09-19
207,Vierges a.,CONCACAF,792,2024-09-19
206,Turques-Caïques,CONCACAF,803,2024-09-19
205,Bahamas,CONCACAF,817,2024-09-19
204,Guam,AFC,822,2024-09-19
203,Liechtenstein,UEFA,827,2024-09-19
202,Somalie,CAF,830,2024-09-19
201,Seychelles,CAF,831,2024-09-19
200,Sri Lanka,AFC,831,2024-09-19
199,Tonga,OFC,836,2024-09-19
198,Gibraltar,UEFA,842,2024-09-19
184,Bhoutan,AFC,904,2024-09-19
197,Pakistan,AFC,843,2024-09-19
195,Îles Caïmans,CONCACAF,857,2024-09-19
194,Aruba,CONCACAF,868,2024-09-19
193,Macao,AFC,872,2024-09-19
192,Djibouti,CAF,875,2024-09-19
191,Îles Cook,OFC,878,2024-09-19
190,São Tomé-et-P.,CAF,878,2024-09-19
189,Samoa a.,OFC,883,2024-09-19
188,Mongolie,AFC,884,2024-09-19
187,Laos,AFC,890,2024-09-19
186,Bangladesh,AFC,897,2024-09-19
196,Timor-Leste,AFC,845,2024-09-19
158,Tahiti,OFC,1017,2024-09-19
157,Hong Kong,AFC,1018,2024-09-19
156,Guyana,CONCACAF,1020,2024-09-19
128,Centrafrique,CAF,1131,2024-09-19
127,Niger,CAF,1132,2024-09-19
126,Inde,AFC,1134,2024-09-19
125,Sierra Leone,CAF,1134,2024-09-19
124,Zimbabwe,CAF,1135,2024-09-19
123,Chypre,UEFA,1137,2024-09-19
122,Estonie,UEFA,1140,2024-09-19
121,Libye,CAF,1154,2024-09-19
120,Soudan,CAF,1154,2024-09-19
119,Togo,CAF,1159,2024-09-19
129,Indonésie,AFC,1124,2024-09-19
118,Comores,CAF,1160,2024-09-19
116,Viêt Nam,AFC,1161,2024-09-19
115,Guinée-Bissau,CAF,1166,2024-09-19
114,Liban,AFC,1167,2024-09-19
113,Azerbaïdjan,UEFA,1173,2024-09-19
112,Mauritanie,CAF,1179,2024-09-19
111,Corée du Nord,AFC,1183,2024-09-19
110,Tanzanie,CAF,1188,2024-09-19
109,Kazakhstan,UEFA,1193,2024-09-19
108,Madagascar,CAF,1197,2024-09-19
107,Guatémala,CONCACAF,1200,2024-09-19
117,Congo,CAF,1160,2024-09-19
130,Rwanda,CAF,1123,2024-09-19
131,Nicaragua,CONCACAF,1118,2024-09-19
132,Malaisie,AFC,1118,2024-09-19
155,Yémen,AFC,1021,2024-09-19
154,Porto Rico,CONCACAF,1022,2024-09-19
153,Lesotho,CAF,1034,2024-09-19
152,Afghanistan,AFC,1034,2024-09-19
151,Antigua-et-Bar.,CONCACAF,1035,2024-09-19
150,Fidji,OFC,1038,2024-09-19
149,Moldavie,UEFA,1043,2024-09-19
148,Philippines,AFC,1050,2024-09-19
147,Botswana,CAF,1050,2024-09-19
146,R. dominicaine,CONCACAF,1058,2024-09-19
145,Éthiopie,CAF,1063,2024-09-19
144,Salomon,OFC,1064,2024-09-19
143,Libéria,CAF,1065,2024-09-19
142,Turkménistan,AFC,1065,2024-09-19
141,St. Kitts/Nevis,CONCACAF,1068,2024-09-19
140,Îles Féroé,UEFA,1090,2024-09-19
139,Lituanie,UEFA,1091,2024-09-19
138,Suriname,CONCACAF,1094,2024-09-19
137,Lettonie,UEFA,1098,2024-09-19
136,Burundi,CAF,1102,2024-09-19
135,Gambie,CAF,1109,2024-09-19
134,Koweït,AFC,1112,2024-09-19
133,Malawi,CAF,1117,2024-09-19
105,Namibie,CAF,1201,2024-09-19
210,Saint-Marin,UEFA,737,2024-10-24
105,Tadjikistan,AFC,1197,2024-10-24
208,Vierges a.,CONCACAF,780,2024-10-24
133,Malaisie,AFC,1114,2024-10-24
134,Malawi,CAF,1111,2024-10-24
135,Koweït,AFC,1106,2024-10-24
136,Suriname,CONCACAF,1105,2024-10-24
137,Lettonie,UEFA,1094,2024-10-24
138,Îles Féroé,UEFA,1092,2024-10-24
139,Burundi,CAF,1089,2024-10-24
140,Botswana,CAF,1088,2024-10-24
141,Lituanie,UEFA,1082,2024-10-24
142,R. dominicaine,CONCACAF,1072,2024-10-24
132,Nicaragua,CONCACAF,1114,2024-10-24
143,St. Kitts/Nevis,CONCACAF,1069,2024-10-24
145,Philippines,AFC,1053,2024-10-24
146,Fidji,OFC,1051,2024-10-24
147,Salomon,OFC,1051,2024-10-24
148,Éthiopie,CAF,1049,2024-10-24
149,Libéria,CAF,1049,2024-10-24
150,Moldavie,UEFA,1041,2024-10-24
151,Afghanistan,AFC,1034,2024-10-24
152,Lesotho,CAF,1033,2024-10-24
153,Porto Rico,CONCACAF,1022,2024-10-24
154,Yémen,AFC,1021,2024-10-24
144,Turkménistan,AFC,1065,2024-10-24
155,N. Calédonie,OFC,1021,2024-10-24
131,Niger,CAF,1115,2024-10-24
129,Centrafrique,CAF,1125,2024-10-24
107,Kazakhstan,UEFA,1186,2024-10-24
108,Comores,CAF,1186,2024-10-24
109,Madagascar,CAF,1180,2024-10-24
110,Soudan,CAF,1176,2024-10-24
111,Corée du Nord,AFC,1175,2024-10-24
112,Tanzanie,CAF,1174,2024-10-24
113,Namibie,CAF,1174,2024-10-24
114,Mauritanie,CAF,1168,2024-10-24
115,Liban,AFC,1167,2024-10-24
116,Guinée-Bissau,CAF,1166,2024-10-24
130,Indonésie,AFC,1119,2024-10-24
117,Zimbabwe,CAF,1162,2024-10-24
119,Viêt Nam,AFC,1161,2024-10-24
120,Congo,CAF,1159,2024-10-24
121,Sierra Leone,CAF,1150,2024-10-24
122,Libye,CAF,1149,2024-10-24
123,Togo,CAF,1148,2024-10-24
124,Estonie,UEFA,1146,2024-10-24
125,Inde,AFC,1134,2024-10-24
126,Rwanda,CAF,1130,2024-10-24
127,Chypre,UEFA,1128,2024-10-24
128,Gambie,CAF,1126,2024-10-24
118,Azerbaïdjan,UEFA,1162,2024-10-24
106,Kenya,CAF,1195,2024-10-24
156,Antigua-et-Bar.,CONCACAF,1021,2024-10-24
158,Hong Kong,AFC,1015,2024-10-24
185,Bangladesh,AFC,897,2024-10-24
186,Samoa,OFC,891,2024-10-24
187,Laos,AFC,890,2024-10-24
188,Mongolie,AFC,884,2024-10-24
189,Samoa a.,OFC,883,2024-10-24
190,São Tomé-et-P.,CAF,878,2024-10-24
191,Îles Cook,OFC,878,2024-10-24
192,Djibouti,CAF,875,2024-10-24
193,Macao,AFC,872,2024-10-24
194,Îles Caïmans,CONCACAF,867,2024-10-24
184,Brunei,AFC,901,2024-10-24
195,Aruba,CONCACAF,863,2024-10-24
197,Gibraltar,UEFA,848,2024-10-24
198,Pakistan,AFC,843,2024-10-24
199,Tonga,OFC,836,2024-10-24
200,Liechtenstein,UEFA,834,2024-10-24
201,Seychelles,CAF,831,2024-10-24
202,Somalie,CAF,830,2024-10-24
203,Sri Lanka,AFC,829,2024-10-24
204,Guam,AFC,822,2024-10-24
205,Bahamas,CONCACAF,819,2024-10-24
206,Turques-Caïques,CONCACAF,804,2024-10-24
196,Timor-Leste,AFC,851,2024-10-24
157,Vanuatu,OFC,1016,2024-10-24
183,Dominique,CONCACAF,904,2024-10-24
181,Cambodge,AFC,921,2024-10-24
159,Tahiti,OFC,1010,2024-10-24
160,Eswatini,CAF,1009,2024-10-24
161,Guyana,CONCACAF,1009,2024-10-24
162,Singapour,AFC,1008,2024-10-24
163,Maldives,AFC,1003,2024-10-24
164,Sainte-Lucie,CONCACAF,998,2024-10-24
165,Myanmar,AFC,991,2024-10-24
166,Cuba,CONCACAF,990,2024-10-24
167,Bermudes,CONCACAF,987,2024-10-24
168,Taipei Chinois,AFC,986,2024-10-24
182,Bhoutan,AFC,904,2024-10-24
169,Malte,UEFA,980,2024-10-24
171,Papoua.N.Guinée,OFC,972,2024-10-24
172,Soudan du Sud,CAF,956,2024-10-24
173,Barbade,CONCACAF,955,2024-10-24
174,St. Vincent,CONCACAF,955,2024-10-24
175,Grenade,CONCACAF,947,2024-10-24
176,Népal,AFC,936,2024-10-24
177,Tchad,CAF,933,2024-10-24
178,Maurice,CAF,928,2024-10-24
179,Belize,CONCACAF,925,2024-10-24
180,Montserrat,CONCACAF,924,2024-10-24
170,Andorre,UEFA,978,2024-10-24
104,Guatémala,CONCACAF,1201,2024-10-24
103,Kirghizistan,AFC,1207,2024-10-24
52,Slovénie,UEFA,1460,2024-10-24
29,Pays de Galles,UEFA,1529,2024-10-24
30,Égypte,CAF,1526,2024-10-24
31,Pologne,UEFA,1523,2024-10-24
32,Hongrie,UEFA,1519,2024-10-24
33,Serbie,UEFA,1511,2024-10-24
34,Russie,UEFA,1509,2024-10-24
35,Canada,CONCACAF,1507,2024-10-24
36,Nigéria,CAF,1503,2024-10-24
37,Algérie,CAF,1497,2024-10-24
38,Pérou,CONMEBOL,1494,2024-10-24
28,Suède,UEFA,1530,2024-10-24
39,Panama,CONCACAF,1494,2024-10-24
41,Slovaquie,UEFA,1490,2024-10-24
42,Grèce,UEFA,1487,2024-10-24
43,Roumanie,UEFA,1487,2024-10-24
44,Venezuela,CONMEBOL,1482,2024-10-24
45,Tchéquie,UEFA,1480,2024-10-24
46,Qatar,AFC,1479,2024-10-24
47,Tunisie,CAF,1479,2024-10-24
48,Norvège,UEFA,1474,2024-10-24
49,Cameroun,CAF,1472,2024-10-24
50,Costa Rica,CONCACAF,1466,2024-10-24
40,Côte d'Ivoire,CAF,1494,2024-10-24
27,Équateur,CONMEBOL,1536,2024-10-24
26,Turquie,UEFA,1548,2024-10-24
25,Ukraine,UEFA,1552,2024-10-24
2,France,UEFA,1860,2024-10-24
3,Espagne,UEFA,1844,2024-10-24
4,Angleterre,UEFA,1808,2024-10-24
5,Brésil,CONMEBOL,1784,2024-10-24
6,Belgique,UEFA,1761,2024-10-24
7,Portugal,UEFA,1753,2024-10-24
8,Pays-Bas,UEFA,1748,2024-10-24
9,Italie,UEFA,1729,2024-10-24
10,Colombie,CONMEBOL,1724,2024-10-24
11,Allemagne,UEFA,1704,2024-10-24
12,Croatie,UEFA,1701,2024-10-24
13,Maroc,CAF,1682,2024-10-24
14,Uruguay,CONMEBOL,1680,2024-10-24
15,Japon,AFC,1645,2024-10-24
16,Mexique,CONCACAF,1641,2024-10-24
17,Suisse,UEFA,1631,2024-10-24
18,États-Unis,CONCACAF,1631,2024-10-24
19,Iran,AFC,1628,2024-10-24
20,Sénégal,CAF,1627,2024-10-24
21,Danemark,UEFA,1617,2024-10-24
22,Corée du Sud,AFC,1590,2024-10-24
23,Autriche,UEFA,1589,2024-10-24
24,Australie,AFC,1553,2024-10-24
51,Écosse,UEFA,1461,2024-10-24
209,Anguilla,CONCACAF,769,2024-10-24
1,Argentine,CONMEBOL,1884,2024-10-24
54,Mali,CAF,1455,2024-10-24
82,Angola,CAF,1299,2024-10-24
83,El Salvador,CONCACAF,1298,2024-10-24
84,Bulgarie,UEFA,1295,2024-10-24
85,Gabon,CAF,1294,2024-10-24
86,Haïti,CONCACAF,1284,2024-10-24
87,Ouganda,CAF,1270,2024-10-24
88,Guinée équat.,CAF,1267,2024-10-24
89,Luxembourg,UEFA,1262,2024-10-24
90,Curaçao,CONCACAF,1261,2024-10-24
91,N. Zélande,OFC,1258,2024-10-24
81,Israël,UEFA,1304,2024-10-24
92,Chine,AFC,1257,2024-10-24
94,Zambie,CAF,1252,2024-10-24
95,Bénin,CAF,1251,2024-10-24
96,Thaïlande,AFC,1232,2024-10-24
97,Biélorussie,UEFA,1231,2024-10-24
98,Mozambique,CAF,1229,2024-10-24
99,Arménie,UEFA,1223,2024-10-24
100,Palestine,AFC,1218,2024-10-24
101,Kosovo,UEFA,1218,2024-10-24
207,Vierges b.,CONCACAF,780,2024-10-24
102,Trinité,CONCACAF,1215,2024-10-24
93,Syrie,AFC,1252,2024-10-24
80,Oman,AFC,1306,2024-10-24
79,Bolivie,CONMEBOL,1312,2024-10-24
78,Guinée,CAF,1312,2024-10-24
55,Paraguay,CONMEBOL,1441,2024-10-24
56,Irak,AFC,1434,2024-10-24
57,RD Congo,CAF,1431,2024-10-24
58,Ouzbékistan,AFC,1429,2024-10-24
59,Arabie saoudite,AFC,1423,2024-10-24
60,Afrique du Sud,CAF,1416,2024-10-24
61,Jamaïque,CONCACAF,1405,2024-10-24
62,Burkina Faso,CAF,1400,2024-10-24
63,Irlande,UEFA,1396,2024-10-24
64,Jordanie,AFC,1381,2024-10-24
65,Albanie,UEFA,1379,2024-10-24
66,Finlande,UEFA,1375,2024-10-24
67,Géorgie,UEFA,1366,2024-10-24
68,ÉAU,AFC,1361,2024-10-24
69,Macédoine Nord,UEFA,1361,2024-10-24
70,Islande,UEFA,1353,2024-10-24
71,Irlande du Nord,UEFA,1345,2024-10-24
72,Cap-Vert,CAF,1341,2024-10-24
73,Ghana,CAF,1339,2024-10-24
74,Bosnie,UEFA,1324,2024-10-24
75,Monténégro,UEFA,1323,2024-10-24
76,Bahreïn,AFC,1314,2024-10-24
77,Honduras,CONCACAF,1313,2024-10-24
53,Chili,CONMEBOL,1455,2024-10-24
210,Saint-Marin,UEFA,747,2024-11-28
209,Anguilla,CONCACAF,769,2024-11-28
207,Vierges b.,CONCACAF,780,2024-11-28
75,Honduras,CONCACAF,1326,2024-11-28
74,Bosnie,UEFA,1327,2024-11-28
73,Monténégro,UEFA,1327,2024-11-28
72,Cap-Vert,CAF,1329,2024-11-28
71,Irlande du Nord,UEFA,1350,2024-11-28
70,Islande,UEFA,1355,2024-11-28
69,Finlande,UEFA,1362,2024-11-28
68,Géorgie,UEFA,1362,2024-11-28
67,Macédoine Nord,UEFA,1369,2024-11-28
66,Burkina Faso,CAF,1374,2024-11-28
76,Israël,UEFA,1322,2024-11-28
65,Albanie,UEFA,1376,2024-11-28
63,ÉAU,AFC,1386,2024-11-28
62,Jamaïque,CONCACAF,1391,2024-11-28
61,RD Congo,CAF,1396,2024-11-28
60,Irlande,UEFA,1400,2024-11-28
59,Arabie saoudite,AFC,1407,2024-11-28
58,Ouzbékistan,AFC,1425,2024-11-28
57,Afrique du Sud,CAF,1429,2024-11-28
56,Irak,AFC,1443,2024-11-28
55,Slovénie,UEFA,1454,2024-11-28
54,Costa Rica,CONCACAF,1455,2024-11-28
64,Jordanie,AFC,1376,2024-11-28
53,Paraguay,CONMEBOL,1458,2024-11-28
77,Ghana,CAF,1321,2024-11-28
79,Bolivie,CONMEBOL,1309,2024-11-28
101,Palestine,AFC,1216,2024-11-28
100,Arménie,UEFA,1219,2024-11-28
99,Kosovo,UEFA,1220,2024-11-28
98,Biélorussie,UEFA,1226,2024-11-28
97,Thaïlande,AFC,1228,2024-11-28
96,Mozambique,CAF,1233,2024-11-28
95,Syrie,AFC,1249,2024-11-28
94,Bénin,CAF,1251,2024-11-28
93,Guinée équat.,CAF,1256,2024-11-28
92,Luxembourg,UEFA,1256,2024-11-28
78,Guinée,CAF,1312,2024-11-28
91,Curaçao,CONCACAF,1265,2024-11-28
89,N. Zélande,OFC,1270,2024-11-28
88,Ouganda,CAF,1270,2024-11-28
87,Zambie,CAF,1279,2024-11-28
86,Haïti,CONCACAF,1288,2024-11-28
85,Angola,CAF,1296,2024-11-28
84,Gabon,CAF,1298,2024-11-28
83,El Salvador,CONCACAF,1301,2024-11-28
82,Bulgarie,UEFA,1301,2024-11-28
81,Bahreïn,AFC,1306,2024-11-28
80,Oman,AFC,1307,2024-11-28
90,Chine,AFC,1266,2024-11-28
52,Tunisie,CAF,1464,2024-11-28
51,Mali,CAF,1466,2024-11-28
50,Chili,CONMEBOL,1469,2024-11-28
22,Autriche,UEFA,1590,2024-11-28
21,Danemark,UEFA,1611,2024-11-28
20,Suisse,UEFA,1625,2024-11-28
19,Mexique,CONCACAF,1627,2024-11-28
18,Iran,AFC,1635,2024-11-28
17,Sénégal,CAF,1637,2024-11-28
16,États-Unis,CONCACAF,1645,2024-11-28
15,Japon,AFC,1653,2024-11-28
14,Maroc,CAF,1688,2024-11-28
13,Croatie,UEFA,1692,2024-11-28
23,Corée du Sud,AFC,1585,2024-11-28
12,Colombie,CONMEBOL,1694,2024-11-28
10,Allemagne,UEFA,1704,2024-11-28
9,Italie,UEFA,1732,2024-11-28
8,Belgique,UEFA,1741,2024-11-28
7,Pays-Bas,UEFA,1748,2024-11-28
6,Portugal,UEFA,1756,2024-11-28
5,Brésil,CONMEBOL,1776,2024-11-28
4,Angleterre,UEFA,1814,2024-11-28
3,Espagne,UEFA,1853,2024-11-28
2,France,UEFA,1860,2024-11-28
1,Argentine,CONMEBOL,1867,2024-11-28
11,Uruguay,CONMEBOL,1696,2024-11-28
24,Équateur,CONMEBOL,1560,2024-11-28
25,Ukraine,UEFA,1555,2024-11-28
26,Australie,AFC,1544,2024-11-28
49,Cameroun,CAF,1471,2024-11-28
48,Qatar,AFC,1475,2024-11-28
47,Venezuela,CONMEBOL,1476,2024-11-28
46,Côte d'Ivoire,CAF,1478,2024-11-28
45,Écosse,UEFA,1480,2024-11-28
44,Nigéria,CAF,1482,2024-11-28
43,Norvège,UEFA,1484,2024-11-28
42,Tchéquie,UEFA,1485,2024-11-28
41,Slovaquie,UEFA,1486,2024-11-28
40,Pérou,CONMEBOL,1488,2024-11-28
39,Grèce,UEFA,1490,2024-11-28
38,Roumanie,UEFA,1494,2024-11-28
37,Algérie,CAF,1496,2024-11-28
36,Panama,CONCACAF,1504,2024-11-28
35,Pologne,UEFA,1511,2024-11-28
34,Russie,UEFA,1512,2024-11-28
33,Égypte,CAF,1513,2024-11-28
32,Serbie,UEFA,1514,2024-11-28
31,Canada,CONCACAF,1516,2024-11-28
30,Hongrie,UEFA,1518,2024-11-28
29,Pays de Galles,UEFA,1534,2024-11-28
28,Turquie,UEFA,1537,2024-11-28
27,Suède,UEFA,1540,2024-11-28
102,Trinité,CONCACAF,1215,2024-11-28
208,Vierges a.,CONCACAF,780,2024-11-28
103,Comores,CAF,1209,2024-11-28
105,Guatémala,CONCACAF,1201,2024-11-28
180,Cambodge,AFC,921,2024-11-28
179,Maurice,CAF,923,2024-11-28
178,Belize,CONCACAF,925,2024-11-28
177,Barbade,CONCACAF,933,2024-11-28
176,Tchad,CAF,935,2024-11-28
175,Népal,AFC,939,2024-11-28
174,Grenade,CONCACAF,955,2024-11-28
173,St. Vincent,CONCACAF,962,2024-11-28
172,Papoua.N.Guinée,OFC,963,2024-11-28
171,Andorre,UEFA,972,2024-11-28
181,Montserrat,CONCACAF,914,2024-11-28
170,Soudan du Sud,CAF,974,2024-11-28
168,Sainte-Lucie,CONCACAF,986,2024-11-28
167,Myanmar,AFC,986,2024-11-28
166,Bermudes,CONCACAF,988,2024-11-28
165,Taipei Chinois,AFC,991,2024-11-28
164,Cuba,CONCACAF,994,2024-11-28
163,Vanuatu,OFC,996,2024-11-28
162,Maldives,AFC,1001,2024-11-28
161,Singapour,AFC,1008,2024-11-28
160,Antigua-et-Bar.,CONCACAF,1011,2024-11-28
159,Eswatini,CAF,1015,2024-11-28
169,Malte,UEFA,984,2024-11-28
158,Yémen,AFC,1018,2024-11-28
182,Bhoutan,AFC,904,2024-11-28
184,Brunei,AFC,900,2024-11-28
206,Turques-Caïques,CONCACAF,804,2024-11-28
205,Bahamas,CONCACAF,819,2024-11-28
204,Liechtenstein,UEFA,822,2024-11-28
203,Guam,AFC,822,2024-11-28
202,Somalie,CAF,830,2024-11-28
201,Seychelles,CAF,831,2024-11-28
200,Sri Lanka,AFC,833,2024-11-28
199,Tonga,OFC,836,2024-11-28
198,Pakistan,AFC,843,2024-11-28
197,Gibraltar,UEFA,849,2024-11-28
183,Dominique,CONCACAF,900,2024-11-28
196,Timor-Leste,AFC,851,2024-11-28
194,Îles Caïmans,CONCACAF,867,2024-11-28
193,Macao,AFC,872,2024-11-28
192,Samoa,OFC,876,2024-11-28
191,Djibouti,CAF,877,2024-11-28
190,Îles Cook,OFC,878,2024-11-28
189,São Tomé-et-P.,CAF,878,2024-11-28
188,Samoa a.,OFC,883,2024-11-28
187,Mongolie,AFC,884,2024-11-28
186,Laos,AFC,890,2024-11-28
185,Bangladesh,AFC,899,2024-11-28
195,Aruba,CONCACAF,858,2024-11-28
157,Porto Rico,CONCACAF,1023,2024-11-28
156,Hong Kong,AFC,1025,2024-11-28
155,Afghanistan,AFC,1025,2024-11-28
127,Inde,AFC,1134,2024-11-28
126,Gambie,CAF,1135,2024-11-28
125,Indonésie,AFC,1135,2024-11-28
